x1,x2,label
-882.158.752.652.255,-5.116.966.165.628.350,-1
5.697.086.137.858.000,10.153.751.564.002.500,1
9.877.586.041.114.420,-6.157.746.561.602.150,-1
11.084.068.641.886.800,17.527.808.945.961.900,-1
-5.551.632.212.307.580,7.700.006.105.645.270,-1
11.316.554.962.997.700,2.495.701.070.277.520,1
-7.042.014.020.667.620,-6.769.482.523.638.830,-1
-11.888.276.985.166.500,20.730.658.250.733.600,1
10.228.864.546.014.600,-17.183.148.676.016.000,-1
-16.724.235.790.427.600,-5.805.775.207.523.590,1
-10.270.499.803.657.400,-12.999.193.485.630.100,-1
-6.262.717.280.759.220,-10.178.917.962.562.400,1
-6.428.973.182.952.540,4.145.697.114.144.900,1
8.250.638.173.198.740,-6.329.869.081.485.360,-1
9.200.722.745.382.280,3.404.888.052.989.870,-1
-9.389.297.715.608.130,49.641.398.421.421.300,1
-8.673.799.060.612.640,11.885.159.716.687.700,1
8.249.929.437.186.220,7.361.237.559.019.220,1
1.013.263.901.520.540,-11.869.881.543.420.200,1
-10.543.728.484.115.400,-3.967.987.635.480.630,-1
-8.670.060.986.617.750,-1.510.281.789.683.670,1
13.973.097.525.028.700,1.801.457.791.961.350,1
7.488.757.887.584.060,-6.841.206.004.746.550,-1
-766.378.428.147.406,-5.094.651.786.293.250,-1
47.508.351.177.625.100,-8.660.742.674.805.520,-1
-1.040.227.743.027.250,-10.593.663.574.214.100,-1
5.360.332.977.608.290,-7.305.579.476.717.960,1
-19.558.716.831.751.200,-32.951.254.385.657.300,1
-8.621.631.000.064.230,19.961.212.686.334.100,1
13.031.728.783.241.800,13.603.420.015.145.300,1
-5.311.590.129.228.940,-7.886.784.343.416.730,-1
55.506.292.068.249,8.641.423.632.943.730,-1
-1.418.635.721.870.880,15.645.133.590.112.000,1
9.841.771.826.735.230,5.076.469.261.471.060,-1
-1.590.149.672.032.510,8.378.107.381.240.080,1
7.087.391.465.353.720,1.558.788.223.772.660,1
-10.629.232.615.489.000,-5.117.950.524.432.660,1
8.579.357.692.679.610,5.781.112.279.380.880,-1
-9.194.645.751.955.200,5.655.979.626.580.740,-1
668.299.128.863.939,7.951.058.947.540.860,-1
-9.920.727.073.729.450,20.343.121.256.268.800,-1
-19.596.420.706.257.000,-11.462.310.919.303.600,1
5.197.634.420.431.360,-9.064.891.624.639.330,-1
-12.779.208.558.143.300,8.048.971.207.775.550,1
-7.112.081.382.863.540,-783.466.119.357.382,-1
-928.132.703.623.099,-16.884.527.795.439.000,1
10.038.155.159.196.800,2.196.826.747.316.110,-1
-10.524.466.302.194.900,-3.858.066.737.770.400,-1
-31.180.620.483.107.000,12.434.096.344.615.500,1
-917.635.865.700.656,33.421.431.286.472.000,-1
31.240.994.505.506.000,8.718.112.559.648.150,-1
-10.598.065.241.541.900,11.704.655.642.130.800,1
-5.322.856.489.357.240,-12.923.748.915.047.900,1
-9.732.862.905.362.360,3.239.521.010.341.120,-1
3.392.028.841.931.780,-17.622.284.945.538.400,1
-55.562.491.450.973.800,944.701.055.672.217,1
-15.491.864.283.974.800,16.461.438.086.622.300,1
14.817.933.062.458.200,88.899.453.229.495,-1
6.975.226.829.088.990,6.213.626.201.506.300,-1
-7.269.283.109.081.350,10.605.296.074.736.800,1
7.049.611.793.382.560,6.734.055.230.040.870,1
15.295.718.993.638.100,29.640.785.214.285.300,1
-17.687.419.966.384.100,23.978.426.796.759.700,1
-14.228.412.370.414.800,3.249.108.067.274.370,1
-7.548.851.670.447.400,-7.405.740.221.522.140,1
-13.902.266.394.930.500,17.409.706.486.554.800,1
5.658.643.454.910.200,-9.177.162.939.811.180,-1
-2.208.550.571.595.410,-2.283.304.667.487.460,1
1.728.178.901.485.980,-9.393.989.893.620.030,1
-7.078.855.604.406.180,-15.943.149.793.273.400,1
1.417.009.619.916.360,-21.581.394.192.075.000,1
-16.064.797.307.248.500,10.154.769.348.227.900,-1
5.626.989.672.043.620,-19.386.063.939.415.900,1
-7.522.650.925.318.880,-6.820.038.191.963.210,-1
9.153.178.248.478.180,-29.360.331.950.229.700,-1
-2.055.495.390.265.910,20.355.845.862.903.300,1
842.128.173.109.494,5.567.585.857.660.730,-1
-40.423.547.582.843.100,-9.090.865.603.514.240,-1
-9.376.151.206.259.790,13.228.515.288.568.400,1
-5.733.442.455.347.250,-7.901.595.334.635.480,-1
-9.999.356.820.667.560,4.468.074.274.835.190,-1
1.019.928.905.520.420,-11.180.540.127.350.700,-1
-14.258.206.426.473.900,8.802.405.532.659.190,1
3.621.915.462.761.170,-9.160.895.641.447.940,-1
5.801.079.616.721.650,-7.791.742.192.760.430,-1
9.739.831.696.051.520,-10.192.578.395.467.700,-1
-1.200.828.714.948.630,6.433.285.354.810.660,1
-992.172.925.636.336,-2.674.836.772.462.850,-1
47.278.587.775.439.300,8.786.474.841.380.800,-1
-17.700.364.526.437.400,-4.139.194.365.464.530,1
-3.858.521.192.016.170,8.624.774.375.200.970,-1
-8.540.183.321.536.150,3.849.222.215.484.130,-1
9.648.407.776.963.940,17.608.692.042.433.200,-1
-14.588.584.842.050.500,-4.766.992.399.185.510,1
7.497.381.705.387.880,7.561.106.889.383.170,-1
3.215.982.343.750.460,-14.917.509.091.178.900,1
-9.926.438.848.560.130,-3.093.295.042.911.690,-1
12.364.611.271.811.400,6.237.545.418.450.010,1
7.265.989.896.110.240,-6.553.182.993.173.550,-1
-6.801.784.018.108.580,2.505.508.447.778.650,1
-10.739.549.338.191.200,9.924.987.727.420.630,1
12.441.827.397.354.000,1.227.447.841.340.100,1
-5.198.202.054.638.920,-9.389.040.912.836.680,-1
2.835.589.563.330.960,-9.004.346.525.192.470,-1
-18.224.192.330.943.400,52.751.655.669.475.400,1
11.991.150.001.850.200,991.912.022.768.049,-1
